,doy,lake,year,depth_type,value
,217,Manipulated,Nutrients (2019),BGA,3075.003904
,224,Manipulated,Nutrients (2019),BGA,1463.215999
,231,Manipulated,Nutrients (2019),BGA,702.7026533
,238,Manipulated,Nutrients (2019),BGA,1370.736673
,245,Manipulated,Nutrients (2019),BGA,1416.975694
,149,Reference,Ambient (2018),BGA,357.8188919
,156,Reference,Ambient (2018),BGA,280.8035478
,163,Reference,Ambient (2018),BGA,193.5217141
,170,Reference,Ambient (2018),BGA,244.4853043
,177,Reference,Ambient (2018),BGA,251.3194444
,184,Reference,Ambient (2018),BGA,295.4576719
,191,Reference,Ambient (2018),BGA,178.077641
,198,Reference,Ambient (2018),BGA,162.1950072
,205,Reference,Ambient (2018),BGA,155.4463808
,212,Reference,Ambient (2018),BGA,181.4465893
,219,Reference,Ambient (2018),BGA,198.8578805
,226,Reference,Ambient (2018),BGA,151.0554484
,233,Reference,Ambient (2018),BGA,177.2430556
,149,Reference,Dye + Nutrients (2024),BGA,148.55
,156,Reference,Dye + Nutrients (2024),BGA,154.23
,163,Reference,Dye + Nutrients (2024),BGA,279.61
,170,Reference,Dye + Nutrients (2024),BGA,286.21
,177,Reference,Dye + Nutrients (2024),BGA,216.47
,184,Reference,Dye + Nutrients (2024),BGA,178.12
,191,Reference,Dye + Nutrients (2024),BGA,191.87
,198,Reference,Dye + Nutrients (2024),BGA,483.48
,205,Reference,Dye + Nutrients (2024),BGA,347.95
,212,Reference,Dye + Nutrients (2024),BGA,244.58
,219,Reference,Dye + Nutrients (2024),BGA,210.52
,228,Reference,Dye + Nutrients (2024),BGA,299.5
,233,Reference,Dye + Nutrients (2024),BGA,221.88
,135,Reference,Nutrients (2019),BGA,370.1905967
,141,Reference,Nutrients (2019),BGA,409.6616773
,148,Reference,Nutrients (2019),BGA,287.0643161
,155,Reference,Nutrients (2019),BGA,166.3147146
,162,Reference,Nutrients (2019),BGA,157.0305371
,169,Reference,Nutrients (2019),BGA,169.8245815
,176,Reference,Nutrients (2019),BGA,212.7049194
,183,Reference,Nutrients (2019),BGA,191.1729922
,190,Reference,Nutrients (2019),BGA,182.7976402
,197,Reference,Nutrients (2019),BGA,211.1607336
,204,Reference,Nutrients (2019),BGA,278.44627
,211,Reference,Nutrients (2019),BGA,317.146699
,218,Reference,Nutrients (2019),BGA,317.6945222
,225,Reference,Nutrients (2019),BGA,349.3541667
,232,Reference,Nutrients (2019),BGA,346.4791667
,239,Reference,Nutrients (2019),BGA,265.3659644
,246,Reference,Nutrients (2019),BGA,288.2951389
