,lake,year,date,depth,meanCH4,meanCO2,meanN2O,do_mgl,temp,doy,light,notes,manual_chl,surface_bga
211,Paul,2024,6/18/2024,9,77.9,327,0.004205,0.3,5.3,170,0.0026,,,
325,Peter,2018,8/1/2018,3.5,0.98,33.13,NA,11.45,16.6,213,0.04,,3.16,320.50
326,Peter,2018,8/1/2018,6,0.65,157.7,NA,0.32,6.1,213,0.0043,,3.16,320.50
423,Peter,2019,7/25/2019,9,97.92,400.91,NA,0.17,4.6,206,0,"bad rep, replaced with lower value",,
212,Paul,2024,6/18/2024,11.5,93.6,326,0.00431,0.1,5.1,170,0,,,
487,Peter,2024,6/24/2024,0,0.48,4.25,0.00734,8.5,23.6,176,0.637,,,287.4
488,Peter,2024,6/24/2024,3.5,0.04,62,0.01032,10.5,12,176,0.016,,,287.4
489,Peter,2024,6/24/2024,6,0.01,264,0,7.5,5.5,176,0.0014,,,287.4
490,Peter,2024,6/24/2024,9,35.7,281.5,0,0.36,4.6,176,0,"do measurement bad, replaced with mean from same depth and year",,
491,Peter,2024,6/24/2024,11,115.5,343.5,0,0.31,4.5,176,0,,,
492,Peter,2024,6/24/2024,13,219,398,0,0.25,4.5,176,0,,,
493,Peter,2024,6/24/2024,16,321.5,451.5,0,0.3,4.6,176,0,,,
119,Paul,2019,6/27/2019,10,126.11,464.61,NA,0.24,5,178,0,,,
120,Paul,2019,6/27/2019,11.5,123.27,384.11,NA,0.1,5,178,0,,,
213,Paul,2024,6/24/2024,0,1.61,28.25,0.00697,7.8,24.2,176,0.75,,,355.53
214,Paul,2024,6/24/2024,2.5,1.57,32.95,0.00694,8.3,20.1,176,0.178,,,355.53
215,Paul,2024,6/24/2024,4.5,0.3,20.05,0.0083,12.4,12.6,176,0.053,,,355.53
121,Paul,2019,7/3/2019,0,2.01,50.92,NA,6.91,24,184,0.92,,4.23,170.05
122,Paul,2019,7/3/2019,2.5,1.24,44.21,NA,8.51,19,184,0.13,,4.23,170.05
327,Peter,2018,8/1/2018,9,19.99,230.22,NA,0.06,4.7,213,0,,,
123,Paul,2019,7/3/2019,4.5,0.57,57.43,NA,10.81,9.8,184,0.04,,4.23,170.05
424,Peter,2019,7/25/2019,11,213.23,511.71,NA,0.12,4.5,206,0,,,
425,Peter,2019,7/25/2019,13,283.01,487.46,NA,0.12,4.5,206,0,,,
124,Paul,2019,7/3/2019,6.5,9.35,361.52,NA,0.91,6.4,184,0.01,,4.23,170.05
216,Paul,2024,6/24/2024,6.5,0.09,200,0.002125,3.7,7.1,176,0.012,,,355.53
